customer_id,age,gender,region,city_population,family_status,children,education,employment_type,monthly_income,owns_car,owns_house,years_with_bank,number_of_bank_products,average_monthly_balance,has_credit,loan_amount,credit_score,number_of_card_transactions_month,online_payments_share,mobile_app_usage,smartphone_brand,smartphone_price,smartphone_age_months,marketing_contacts_last_year,previous_campaign_response,previous_insurance,insurance_claims,accepted
C100000,34,F,Казань,1270791,single,0,bachelor,employed,39963,1,0,7.8,3,21095.64,1,565393.7,588.9,7,0.568,4.6,Samsung,22794,5,4,0,1,0.0,0
C100001,32,F,Казань,1323163,single,0,master,self_employed,62651,0,0,0.9,1,199138.23,1,689015.99,625.3,35,0.895,2.1,Other,5792,48,0,0,1,1.0,0
C100002,60,F,Москва,12447781,married,3,bachelor,employed,122403,1,1,4.5,3,119300.55,1,3729591.09,629.2,24,0.514,1.5,Samsung,50752,20,2,0,1,0.0,0
C100003,68,F,Санкт-Петербург,5639833,married,4,secondary,employed,39079,0,0,4.4,4,11288.04,0,,588.4,5,0.272,2.4,Other,7632,6,3,0,0,,0
C100004,28,M,Краснодар,1099358,single,0,bachelor,employed,67001,0,0,4.2,2,42676.75,1,1957075.74,649.9,24,0.959,4.2,Xiaomi,25628,5,8,1,0,,0
C100005,51,M,Санкт-Петербург,5426258,married,2,bachelor,employed,129903,1,1,5.5,3,729030.64,0,,618.4,28,0.479,2.9,Xiaomi,20456,29,6,1,1,0.0,0
C100006,18,F,Ростов-на-Дону,1175707,single,0,bachelor,employed,96621,1,0,0.0,1,124564.61,1,3064638.94,636.6,32,0.985,1.2,Apple,61072,29,2,0,1,0.0,0
C100007,27,F,Новосибирск,1538543,single,0,master,employed,74339,0,0,9.0,5,158559.38,1,1357714.75,680.0,43,0.834,19.1,Other,14218,0,6,1,0,,0
C100008,48,M,Челябинск,1223661,married,1,secondary,employed,75458,0,0,3.0,4,77967.63,0,,,20,0.378,1.3,Samsung,31286,27,4,0,1,0.0,0
C100009,32,F,Москва,12400782,single,0,bachelor,employed,190443,1,1,7.3,1,145005.9,1,2929668.79,743.6,39,0.97,4.6,Apple,123760,2,3,1,0,,1
C100010,32,F,Омск,1200200,married,0,secondary,employed,44338,1,0,6.6,2,14400.56,0,,533.6,6,0.542,3.8,Other,3734,44,4,0,1,1.0,0
C100011,29,F,Санкт-Петербург,5533499,single,0,bachelor,employed,172247,0,1,4.2,2,337488.06,0,,655.5,60,0.977,6.7,Xiaomi,38305,14,4,0,0,,0
C100012,52,F,Санкт-Петербург,5533740,married,2,bachelor,employed,56465,0,0,7.9,3,38647.9,1,159362.96,625.3,18,0.682,2.1,Xiaomi,19248,25,1,1,0,,0
C100013,32,F,Омск,1143168,single,0,bachelor,employed,122888,0,0,1.1,5,107347.19,1,1104034.24,644.1,39,0.691,9.8,Samsung,45306,24,1,1,1,0.0,1
C100014,36,F,Новосибирск,1618857,married,3,secondary,employed,54801,1,0,18.0,3,73473.95,0,,652.0,29,0.921,2.9,Other,11814,8,2,0,0,,0
C100015,51,F,Казань,1270723,married,1,bachelor,employed,79839,1,0,14.0,5,178585.81,1,743274.91,688.4,26,0.607,1.6,Samsung,50174,15,3,1,1,0.0,1
C100016,35,M,Казань,1239570,single,1,secondary,employed,24056,0,0,6.0,1,7444.49,0,,576.5,2,0.499,3.4,Other,6781,6,2,0,0,,0
C100017,31,M,Москва,12578552,single,2,bachelor,employed,254883,0,1,13.0,2,308491.06,1,3678431.22,833.5,54,0.993,7.2,Apple,149412,4,4,0,1,0.0,1
C100018,29,M,Санкт-Петербург,5424102,single,1,bachelor,employed,141964,1,0,10.1,2,274815.0,1,3105627.34,696.2,47,0.839,10.5,Apple,78414,12,2,0,1,0.0,1
C100019,29,M,Самара,1199383,single,0,bachelor,employed,49261,0,0,7.5,4,20147.35,0,,635.5,6,0.384,3.8,Other,8203,9,2,0,1,0.0,0
C100020,44,F,Казань,1393861,married,3,bachelor,employed,67317,1,1,6.1,1,86688.74,1,416973.99,553.9,20,0.794,6.8,Other,18098,18,2,0,0,,0
C100021,47,M,Омск,1153797,married,3,bachelor,employed,85099,1,1,1.8,1,34951.95,1,3261244.77,632.7,34,0.877,3.6,Huawei,23341,26,2,0,0,,0
